Query,Ambiguity Type,Retrieved,Retrieved Count,Context Length,Retrieved Context,Ground Truth,Prediction,Similarity,Expert1,Expert2,Final Label,,,,,,
In which cardinal direction does the Mayurakshi River flow from Dumka city?,Geometric Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"From the city of Dumka, the Mayurakshi River flows generally in a south-easterly direction"," The Mayurakshi River flows towards the east from Dumka city. This river originates in Jharkhand and eventually meets the Ganges near Bhagalpur, Bihar.",0.8208,Correct,Correct,Ok,1,1,151,90,1.677777778,0
In which decade was the Baidyanathdham temple complex last expanded?,Temporal Spatial Ambiguity | Locational Extent Ambiguity,N/A,N/A,N/A,N/A,"The Baidyanathdham temple complex underwent significant expansion during the 1990s, with the construction of new pilgrim amenities, dharamshalas, and boundary restructuring."," The Baidyanathdham temple complex, also known as Baidyanath Temple or Naganath Temple, is a significant Hindu pilgrimage site located in Deogarh, Jharkhand, India. While I don't have real-time data, historical records suggest that the last major expansion of the temple complex might have taken place during the medieval period between the 10th and 15th centuries. However, for precise information about the specific decade or timeframe of the latest expansion, it would be best to consult a scholar or conduct further research in historical archives.",0.7136,Not Correct,Not Correct,Halucinate,0,1,552,173,3.190751445,1
In which direction is Parasnath Hill from Dumka?,Geometric Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"From Dumka, Parasnath Hill is located in the south-west direction"," Parasnath Hill, a significant pilgrimage site for Jains, is located in the Indian state of Jharkhand. It's approximately 170 kilometers (around 106 miles) northeast of Dumka, which is also in Jharkhand. If you were to travel from Dumka towards Deoghar or Dhanbad, you would eventually pass by Parasnath Hill. However, it's important to note that the exact distance and route can vary depending on your specific starting point within Dumka.",0.7983,Not Correct,Not Correct,Halucinate,1,1,440,65,6.769230769,1
In which direction of Dumka is Baidyanathdham?,Geometric Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"From the city of Dumka, Baidyanathdham (Deoghar) is located in the north-west direction"," Baidyanath Dham is located in Jharampahari, Deoghar district, in the Indian state of Jharkhand. If you are in Dumka, which is a city in the same state but located about 170 kilometers to the northwest, you would travel south towards Deoghar to reach Baidyanath Dham.",0.7914,Not Correct,Not Correct,Halucinate,1,1,267,87,3.068965517,1
In which wing of Dumka Sadar Hospital is the emergency casualty located?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The emergency casualty department is located in the front wing of Dumka Sadar Hospital, directly facing the main entrance."," I don't have real-time data or the ability to physically visit locations. However, for general information, in many hospitals, the Emergency Department or Casualty is usually located near the main entrance or at least easily accessible. For specific information about Dumka Sadar Hospital, I would recommend contacting the hospital directly or checking their official website or published maps if available.",0.7744,Not Correct,Not Correct,Halucinate,1,1,408,122,3.344262295,1
"Is ""Baidyanath"" a variant of ""Vaidyanath"" in local pronunciation?",Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"Yes, ""Baidyanath"" is the local pronunciation variant of ""Vaidyanath""; both refer to the same deity and temple in Deoghar."," Yes, that's correct. ""Baidyanath"" and ""Vaidyanath"" are variants of each other, with the former being a common pronunciation, particularly in contemporary usage, especially outside formal contexts. Both names originate from Sanskrit and refer to a Hindu deity Lord Shiva, who is known by the name Vaidya or Baidyanath, meaning the ""physician"" or ""healer.""

In Indian languages like Hindi, Marathi, and Bengali, for example, ""V"" often gets pronounced as ""B"" due to phonetic differences between Sanskrit and those languages. So in colloquial usage, Vaidyanath may sometimes be referred to as Baidyanath or Bhaydyanath. However, it's essential to note that the formal or traditional spelling remains Vaidyanath.",0.844,Not Correct,Not Correct,Halucinate,1,1,708,121,5.851239669,1
"Is ""Baidyanathdham"" the temple, the town, or the railway station name?",Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"""Baidyanathdham"" primarily refers to the temple complex; however, the locality and the nearby railway station are also named Baidyanathdham (station code: BDME)."," Baidyanathdham is most commonly known as a temple complex located in Deoghar district in Jharkhand, India. It's a significant Hindu pilgrimage site dedicated to Lord Shiva and is one of the twelve Jyotirlingas. However, it's essential to note that the term can also refer to the town surrounding the temple, which is often referred to as Deoghar. The railway station nearest to Baidyanathdham is Deoghar Railway Station.",0.7341,Not Correct,Not Correct,Halucinate,0,1,421,161,2.614906832,1
"Is ""Marang Buru"" also officially recorded as ""Marang Hill"" in revenue records?",Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, in revenue and forest records, Marang Buru is often officially recorded as ""Marang Hill"" or ""Marang Buru Hill"" under the Dumka Forest Division."," I don't have real-time data access, but based on my research, Marang Buru (or Marang Buru) is a hill located in the state of Sabah, Malaysia. It is not officially known or recognized as ""Marang Hill."" The term ""Marang Hill"" might be used informally or colloquially, but for official records and revenue purposes, it would likely be referred to by its original name, Marang Buru. However, I recommend checking with local authorities in Sabah for the most accurate information regarding any potential changes or discrepancies in the hill's official name over time.",0.7437,Not Correct,Not Correct,Halucinate,0,1,563,148,3.804054054,1
"Is ""Nayapara"" a ward within Dumka city or a separate revenue village?",Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Nayapara is a separate revenue village, not a municipal ward within Dumka city."," Nayapara is not a recognized ward within Dumka city. It is instead a revenue village located in the Dumka district of Jharkhand, India. However, it's possible that local informal divisions may exist and be referred to as ""wards"" without official recognition. For accurate information about administrative divisions within Dumka city, I would recommend checking official resources such as census data or government websites.",0.8728,Not Correct,Not Correct,Halucinate,1,1,424,79,5.367088608,1
"Is ""Parasnath"" more widely known as ""Sammet Shikhar"" in Jain literature?",Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, in Jain literature ""Parasnath"" is more widely and reverentially referred to as ""Sammet Shikhar"" or ""Shikharji"", one of the most sacred Tirtha sites."," Yes, that's correct. Parasnath, who is the 23rd Tirthankara in Jainism, is more commonly known as Sammet Shikhar (also spelled Sammedh Shikhar or Sammatt Shikhar) in Jain literature. This name refers to his spiritual attainment of Samyak Darshan (perfect insight), Samyak Jnana (perfect knowledge), and Samyak Cariya (perfect conduct). Parasnath is believed to have lived between 872 BCE and 793 BCE.",0.7839,Correct,Not Correct,Ok,1,1,401,153,2.620915033,0
"Is ""Trikut"" considered the same as ""Trikuta"" in ancient texts?",Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"""Trikut"" is considered a vernacular shortening of ""Trikuta"", which appears in some Puranic and mythological references as the three-peaked hill associated with Ravana's worship of Shiva; local tradition identifies this site with that legend."," In Sanskrit, both ""Trikut"" and ""Trikuta"" are used interchangeably and refer to a triangular-shaped mountain peak or range. However, it's important to note that usage can vary slightly depending on the context of the ancient text. Both forms are grammatically correct in Sanskrit.",0.6786,Not Correct,Not Correct,Halucinate,0,0,280,241,1.161825726,1
Is Baba Dham the same as Baidyanathdham?,Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, Baba Dham is the same as Baidyanathdham; ""Baba Dham"" is a popular colloquial and reverential term for the Baidyanathdham temple."," No, Baba Dham and Baidyanathdham are not the same. Baba Dham refers to the famous shrine of Bababharati Nath in Kumaon region, Uttarakhand, India. On the other hand, Baidyanathdham is a Hindu temple dedicated to Lord Shiva located in Deogarh (also known as Deokund or Vaidyanath), Jharkhand, India. Both are significant religious sites for Hindus but are situated in different regions of India.",0.8814,Correct,Not Correct,Ok,1,1,395,133,2.969924812,0
Is Baidyanathdham a single shrine or a complex with multiple sub-temples?,Location Geometry Type Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,Baidyanathdham is a large temple complex containing the main Jyotirlinga shrine along with 21 other subsidiary temples.," Baidyanathdham, also known as Vaishno Devi of the East, is a complex of temples located in Deogarh, Jharkhand, India. It consists of 12 Shiva Lingams, each representing one of the twelve zodiac signs and the month they correspond to. So, it can be considered as a complex with multiple sub-temples dedicated to different deities. The main temple is dedicated to Lord Shiva as Baidyanath, also known as Vaidyanath or Baba Baidyanath.",0.6872,Not Correct,Not Correct,Halucinate,0,0,433,119,3.638655462,1
Is Deoghar district best represented as a polygon or an administrative point?,Location Geometry Type Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,Deoghar district is best represented as a polygon.," Deoghar district, like most districts, is best represented as a polygon on maps. This is because a polygon can accurately depict the boundaries and geographical area of the district, which is essential for various applications such as cartography, geographic information systems (GIS), and statistical analysis. An administrative point would not accurately represent the extent of the district's territory. However, an administrative point could be used to represent the location of the district headquarters or other important points within the district.",0.8328,Not Correct,Not Correct,Halucinate,1,1,556,50,11.12,1
Is Devghar = Deoghar?,Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, ""Devghar"" is a phonetic variant of ""Deoghar""; both mean ""House of God"" (Deo/Dev = God, Ghar = House) and refer to the same place."," Yes, Devghar is an alternative name for Deoghar. Both refer to a city and district in India located in the state of Jharkhand. The city is well-known as a pilgrimage center, especially for Hindus, due to its famous Baidyanath Temple dedicated to Lord Shiva.",0.7665,Correct,Correct,Ok,1,1,258,134,1.925373134,0
Is Dumka Sadar Hospital a point-of-interest or a multi-building campus?,Location Geometry Type Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"Dumka Sadar Hospital is a multi-building medical campus with separate wards, administrative blocks, and a blood bank."," Dumka Sadar Hospital is typically considered as a single hospital facility, rather than a multi-building campus. However, within the hospital complex, there may be multiple buildings serving different functions such as wards, operation theaters, outpatient departments, etc. For specific details about the structure of the hospital, it's best to consult the official website or contact the hospital directly.",0.8861,Not Correct,Not Correct,Halucinate,1,1,409,117,3.495726496,1
Is Mansarovar pond near Baidyanathdham temple?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"Yes, Mansarovar pond is located immediately adjacent to the Baidyanathdham temple complex, on its northern side."," No, Mansarovar is not located near the Baidyanathdham temple. Mansarovar is a high-altitude lake in Tibet Autonomous Region of China, near Mount Kailash, which is part of the Trans-Himalayan region. The Baidyanathdham temple, also known as Baba Baidyanath or Baidyanath Jyotirlinga, is located in Deoghar district in the Indian state of Jharkhand. These two locations are about 2,000 kilometers apart and not geographically close to each other.",0.7811,Not Correct,Not Correct,Halucinate,1,1,445,112,3.973214286,1
Is Mansarovar pond still inside the temple complex?,Temporal Spatial Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"Mansarovar pond remains located within the extended temple trust premises, immediately outside the inner sanctum wall but well within the temple estate boundary."," The Mansarovar Lake is not located within a temple complex. It is a high-altitude freshwater lake located in Tibet Autonomous Region of China, near the Indo-Tibetan border. It is considered sacred by both Hindus and Buddhists. The lake is part of a larger religious circuit that includes Mount Kailash, which is located about 60 km away from Mansarovar Lake. However, there are temples and monasteries nearby the lake, such as Girivishnu Temple on Mount Kailash and Astapad Temple in Tibet.",0.6475,Not Correct,Not Correct,Halucinate,0,0,491,161,3.049689441,1
Is Marang Buru a part of the larger Trikut-Marang forest division or standalone?,Spatial Granularity Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,"Marang Buru is part of a separate Marang Buru Reserved Forest under the Dumka Forest Division, not part of a combined Trikut-Marang division."," Marang Buru is not a separate entity, but rather a part of the larger Trikut-Marang Forest Division. The Trikut-Marang Forest Division is one of the divisions under the control of the Forest Department in Sabah, Malaysia. It encompasses several forest areas, including the Marang Buru Forest Reserve and the Tawus Mountains. The division aims to conserve and manage these forests for sustainable use while also promoting ecotourism and community development.",0.798,Not Correct,Not Correct,Halucinate,1,1,459,141,3.255319149,1
Is Marang Buru in Dumka?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, Marang Buru is situated in Dumka district, within the Dumka-Godda uplands region."," No, Marang Buru is not located in Dumka. It's a village in the West Champaran district of Bihar, India. Dumka, on the other hand, is a city in the Santhal Parganas division of Jharkhand state.",0.9184,Correct,Not Correct,Ok,1,1,193,86,2.244186047,0
Is Marang Buru in Deoghar?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"No, Marang Buru is situated in Dumka district, not in Deoghar."," No, Marang Buru is not located in Deoghar. Marang Buru is actually a village in the Jharkhand state of India, specifically in Palamau district. Deoghar is a city located in the Santhal Parganas division of Jharkhand and is famous for the Baidyanath Temple. It's important not to confuse these two locations, as they are quite far apart within the same state.",0.8741,Not Correct,Not Correct,Halucinate,1,1,359,62,5.790322581,1
Is Nayapara a point settlement or an area with spread-out hamlets?,Location Geometry Type Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Nayapara is a revenue village comprising multiple scattered hamlets (tolas), not a single point settlement."," Nayapara is a point settlement, specifically a refugee camp located in Teknaf Upazila of Cox's Bazar District in Bangladesh. It was established in the late 1990s to accommodate Rohingya refugees who fled from Myanmar. The camp is densely populated with thousands of households living in close proximity to each other, making it a point settlement rather than an area with spread-out hamlets.",0.6967,Not Correct,Not Correct,Halucinate,0,0,392,107,3.663551402,1
Is Nayapara considered a part of Dumka city proper or a separate outgrowth?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,Nayapara is a separate rural village outside the Dumka municipal boundary and is not considered part of Dumka city proper.," Nayapara is not considered part of Dumka city proper. It's a neighborhood or locality situated on the outskirts of Dumka, a city in the Indian state of Jharkhand. However, due to urban expansion and growth, it might be getting closer to the city limits over time.",0.9009,Correct,Not Correct,Ok,1,1,264,122,2.163934426,0
Is Nayapara near Dumka city?,Relational Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Yes, Nayapara is a rural village located within the Dumka district, separate from any urban city block but nearby."," Yes, Nayapara is located near Dumka city in the Indian state of Jharkhand. It is approximately 30 kilometers away from Dumka city.",0.9062,Correct,Correct,Ok,1,1,131,114,1.149122807,0
Is Nayapara part of Dumka?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, Nayapara is a revenue village within Dumka district, but it is outside the Dumka municipal town limits."," No, Nayapara is not a part of Dumka. It is a village in the Jhargram subdivision of the Paschim Medinipur district in West Bengal, India. Dumka is a city and headquarters of Dumka district in the Indian state of Jharkhand.",0.8584,Correct,Not Correct,Ok,1,1,223,108,2.064814815,0
Is Parasnath near Dumka?,Spatial Granularity Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,"Parasnath Hill is not near Dumka; it is located in Giridih district, approximately 150 kilometres away by road."," No, Parasnath is not near Dumka. Parasnath is a holy place located in the Jharkhand region of India, specifically in the Giridih district. On the other hand, Dumka is a city located in the Santhal Pargana district of Jharkhand, which is quite far from Giridih. Both cities are part of Jharkhand but they are not near each other.",0.8626,Correct,Not Correct,Ok,1,1,329,111,2.963963964,0
Is the Deoghar railway station connected to the main bus stand by a direct road?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"Yes, Deoghar railway station is connected to the main bus stand by a direct road (Station Road) spanning about 1.5 kilometres."," I don't have real-time data, but according to information available online, Deoghar does have a main bus stand, and it seems that there is a direct road connecting the Deoghar Railway Station to the bus stand. However, for the most accurate and up-to-date information, I would recommend checking with local transportation authorities or consulting online map services like Google Maps before your trip.",0.7973,Not Correct,Not Correct,Halucinate,1,1,403,126,3.198412698,1
Is the Dumka airstrip (Deoghar Airport) operational for civilian flights?,Semantic Result Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"No, the Dumka airstrip is a small unpaved facility used primarily for chartered and government flights; the operational civilian airport for the region is Deoghar Airport (Baidyanathdham Airport)."," The Dumka airstrip, also known as Deoghar Airport, is currently not operational for regular commercial flights. However, it has been upgraded and can potentially be used for domestic civil aviation operations with the necessary clearances. As of my last update, it was being considered for reopening by the government authorities. I recommend checking the latest information from official sources such as the Airports Authority of India (AAI) or your airline of choice for the most accurate and current details.",0.8494,Correct,Not Correct,Ok,1,1,512,196,2.612244898,0
Is the Mansarovar pond contained wholly within the temple complex or outside it?,Spatial Granularity Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"The Mansarovar pond lies outside the immediate sanctum boundary but within the extended temple trust premises, adjacent to the northern boundary wall of the main shrine complex."," The Mansarovar Lake is not contained within a temple complex, but rather it exists as a natural high-altitude lake in the autonomous region of Tibet (China) and the Indian state of Uttarakhand. It's situated near Mount Kailash, which is a significant site for several religions including Hinduism, Buddhism, and Jainism. However, there are no temples that contain the entire lake itself. The lake and its surrounding areas have spiritual significance for pilgrims, who often travel to the region for religious purposes.",0.6764,Not Correct,Not Correct,Halucinate,0,0,520,177,2.937853107,1
Is the Mansarovar pond next to Baidyanathdham?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"Yes, the Mansarovar pond is situated right next to the Baidyanathdham temple complex."," No, Mansarovar and Baidyanathdham are located in different regions. Mansarovar is a high-altitude lake located in Tibet Autonomous Region of China near Mount Kailash, while Baidyanathdham is a Hindu temple complex located in Deoghar district, Jharkhand, India. Though they are both considered sacred sites for Hindus, they are geographically separate.",0.8041,Not Correct,Not Correct,Halucinate,1,1,352,85,4.141176471,1
Is the road leading to Trikut Buru a linear route or a network of trails?,Location Geometry Type Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,The path leading to the summit of Trikut Buru is a linear route.," The information about the specific roads leading to Trikut Buru (Triplet Hill), located in Maharashtra, India, can vary depending on the sources and updates. However, based on common traveler reviews and maps available online, it seems that the road leading to Trikut Buru is primarily a linear route. It's a mountainous area, so there might be some winding or zigzagging sections, but overall, it appears to be a single path connecting various villages and locations along the way.

That being said, in some areas around mountains and remote regions, local trails or paths may branch off from the main road for short distances, especially for accessing specific viewpoints or temples. It's always best to check with local authorities or travel guides for the most accurate information about the routes before planning a trip.",0.7249,Not Correct,Not Correct,Halucinate,0,1,827,64,12.921875,1
"Is there a locality named ""Marang"" in any neighbouring district of Dumka?",Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,Disom Marang Buru Than is a locality in Hijla village at the edge of Dumka city.," Yes, Marang is a block and a community development block (CD Block) in the Jamtara district of Jharkhand. However, it's not located in the neighboring district of Dumka, which is located in the adjacent state of Bihar. Both Jamtara and Dumka are districts in their respective states along the border between Jharkhand and Bihar.",0.5324,Not Correct,Not Correct,Halucinate,0,0,329,80,4.1125,1
Is there a Mansarovar in Dumka?,Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"No, the prominent Mansarovar pond is situated in Deoghar, not inside the Dumka district limits."," No, there is no Mansarovar in Dumka. Mansarovar is a high-altitude lake located in Tibet Autonomous Region of China, and Dumka is a city and municipality in the Indian state of Jharkhand. If you are looking for a similar holy lake in India, you might be referring to Lake Manasarovar in Uttarakhand, which is a part of the Trans-Himalayan region shared by India, China, and Nepal. However, this lake is not located in Dumka.",0.7551,Not Correct,Not Correct,Halucinate,1,1,425,95,4.473684211,1
Is there a weekly market (haat) within walking distance of Baidyanathdham?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"Yes, a weekly market (haat) operates within walking distance (less than 1 km) of Baidyanathdham, in the Deoghar town area."," Baidyanathdham is located in Deoghar, Jharkhand, India. While I don't have real-time data, it's likely that there are local markets or haats near Baidyanathdham as they are common in Indian towns and cities. However, the specific distance and walking accessibility may vary depending on your exact location within Deoghar.

To find the nearest market, I recommend checking with a local guide, using a map application, or asking at your accommodation. It's also possible to explore the area around Baidyanathdham on foot to discover local markets.",0.6793,Not Correct,Not Correct,Halucinate,0,0,547,122,4.483606557,1
Is Trikut = Trikut Buru?,Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"""Trikut"" and ""Trikut Buru"" are used interchangeably; ""Buru"" means ""hill"" in Santali, so Trikut Buru specifically means ""Trikut Hill""."," Trikut and Trikut Buru are terms from Hindu mythology, specifically related to Shiva's abode Mount Kailash.

Trikut refers to one of the three peaks on Mount Kailash, which is considered the dwelling place of Lord Shiva according to tradition. It's important to note that there are several interpretations about Trikut, with some believing it represents the physical peaks and others considering it as symbolic or metaphorical representations.

Trikut Buru, on the other hand, is a term used in Buddhism, and it refers to one of the two rocks adjacent to Mount Kailash. According to Buddhist beliefs, these rocks are believed to be the bodily remains (relics) of the Buddha Takshashila (also known as Gautama Buddha).

So, while both terms are associated with Mount Kailash, they do not represent the same geographical feature or entity.",0.63,Not Correct,Not Correct,Halucinate,0,0,838,133,6.30075188,1
Is Trikut Buru a single conical peak or a cluster of multiple summits?,Location Geometry Type Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"Trikut Buru is a cluster of three distinct summits (hence the name ""Trikut"" meaning three peaks)."," Trikut Buru is not a well-known geographical feature, so it's difficult to provide an accurate answer without more context. However, in the Himalayas, there are several peaks named Trikuta, such as Kailash and the Three Peaks of Kedarnath, which are known for being clusters of multiple summits rather than single conical peaks. Without specific information about the location you're referring to, it is impossible to confirm whether Trikut Buru is a single peak or a cluster of multiple summits.",0.8686,Not Correct,Not Correct,Halucinate,1,1,497,97,5.12371134,1
Is Trikut Buru next to Marang Buru?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"No, Trikut Buru is not next to Marang Buru; they are located in different districts approximately 60-65 kilometres apart."," I'm here to help! However, it seems there might be a misunderstanding in the place names you mentioned. According to my research, neither Trikut Buru nor Marang Buru are commonly known islands or geographical locations in the world. It's possible that these names could refer to specific places in local dialects or regional maps, but without more context, it's challenging to provide an accurate response.

It would be best if you could provide additional information about the region or context where these place names originate from, so I can give a more precise answer.",0.7635,Not Correct,Not Correct,Halucinate,1,1,574,121,4.743801653,1
On which slope of Trikut Buru does the primary trekking trail begin?,Spatial Part Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,"The primary trekking trail to Trikut Buru begins on the southeastern slope of the hill, starting from Trikutpar village."," The primary trekking trail for Trikut Buru begins on its eastern (right) slope. This is because the traditional route starts from Dzongri, a small town located on the right side when facing Trikut Buru from the base. The trail ascends through Khollakhung, Bedniak and then to Tshoka before reaching Trikut Buru.",0.9064,Correct,Not Correct,Ok,1,1,312,120,2.6,0
Road distance vs straight-line from Nayapara village to Dumka city centre?,Relational Geometric Ambiguity | Geometric Result Ambiguity,N/A,N/A,N/A,N/A,"The road distance from Nayapara to Dumka city centre is about 10-12 kilometres, while the straight-line distance is roughly 7 kilometres."," To find the road distance between Nayapara village and Dumka city center, I would typically use a mapping service like Google Maps or Waze. However, as a text-based AI, I don't have direct access to these services.

I can provide you with a general idea of the distance if you assume a straight-line (airline) distance, but please note that road distances are usually longer due to curves and detours on the actual roads. Dumka is approximately 46 kilometers northwest of Nayapara village in Jharkhand, India. The straight-line distance between the two points would be around 39 kilometers (approximately 24 miles), but the road distance might be slightly longer.

For an accurate measurement, I recommend using a mapping service or consulting local transportation services or authorities.",0.8762,Not Correct,Not Correct,Halucinate,1,1,790,137,5.766423358,1
Should Mansarovar pond be mapped as a polygon or a point next to the Baidyanathdham temple complex ?,Location Geometry Type Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The Mansarovar pond should be mapped as a polygon.," The Mansarovar Pond, being a large body of water, is typically represented as a polygon on maps. This is because it has an area and isn't a single point. On the other hand, the Baidyanathdham temple complex is a collection of buildings or structures, which are more appropriately represented as points on a map. So, they should ideally be mapped separately to accurately represent their characteristics. However, in some cases, especially for simplicity in visual representation, they might appear close together as points or icons on maps.",0.7075,Not Correct,Not Correct,Halucinate,0,1,541,50,10.82,1
Under which administrative block (CD block) does Nayapara fall?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,Nayapara falls under the Dumka Sadar (Dumka) Community Development (CD) Block.," Nayapara falls under the Jangipur II CD block in Murshidabad district, West Bengal, India.",0.7385,Not Correct,Correct,Ok,0,1,91,78,1.166666667,0
Was Marang Buru inside Dumka earlier?,Temporal Spatial Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Yes, Marang Buru has always been situated within the territorial limits of Dumka district, even before the bifurcation of Jamtara district in 2001."," Marang Buru is a village in the Indian state of Maharashtra, specifically in Yavatmal district. It does not appear to be located in the Dumka district of Jharkhand based on current administrative boundaries in India. However, it's important to note that borders can change over time due to political or geographical reasons, so I would recommend consulting official maps or a reliable source for the most accurate information regarding historical border changes.",0.7305,Not Correct,Not Correct,Halucinate,0,1,463,147,3.149659864,1
Was Marang Buru inside Jamtara earlier?,Temporal Spatial Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"No, Marang Buru has always been situated within the territorial limits of Dumka district, even before the bifurcation of Jamtara district in 2001."," I don't have real-time data or the ability to know specific locations of individuals in the past. Marang Buru is a character from the Indian Netflix series ""Jamtara - Sabka Number Ayodhya,"" and his role in the series takes place within the fictional context of the show, not in real life. Therefore, I can't provide information about where Marang Buru was before appearing in Jamtara as it doesn't have a factual basis.",0.5893,Not Correct,Not Correct,Halucinate,0,0,420,146,2.876712329,1
Was Parasnath Hill earlier part of Dumka district?,Temporal Spatial Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"No, Parasnath Hill has never been part of Dumka district; it has historically been located in Giridih district (earlier within Hazaribagh district)."," Yes, Parasnath Hill was previously a part of the Dumka district in the Indian state of Jharkhand. However, it is now located in the Deoghar district after administrative changes and reorganization of districts in Jharkhand in 2001. The Parasnath Hill holds significant importance for Jains as it houses one of their holiest sites, the Parsvanath Temple Complex.",0.8586,Correct,Not Correct,Ok,1,1,362,148,2.445945946,0
Was the Mayurakshi River course near Nayapara different in the 1960s?,Temporal Spatial Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,"Yes, the Mayurakshi River course near Nayapara has shifted slightly due to siltation and seasonal flooding since the 1960s, though the major channel has remained largely consistent."," The Mayurakshi River, located near Nayapara in Bangladesh, has undergone some changes over the years. However, specific information about the river's course during the 1960s is not readily available without further research.

In recent times, the river's course and its flood patterns have been affected by natural factors like sedimentation and erosion as well as human activities such as deforestation, construction of dams, and changes in land use patterns. These factors can alter a river's course and flow over time.

To provide a more accurate answer regarding the Mayurakshi River's course in the 1960s, I would recommend consulting historical maps or hydrological records, if available. A more detailed study involving experts in geography, history, or hydrology could also help to determine any significant changes in the river's course during that period.",0.6886,Not Correct,Not Correct,Halucinate,0,0,866,181,4.784530387,1
