Query,Ambiguity Type,Retrieved,Retrieved Count,Context Length,Retrieved Context,Ground Truth,Prediction,Similarity,Expert1,Expert2,Final Label,,,,,,
Is Nayapara considered a part of Dumka city proper or a separate outgrowth?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,Nayapara is a separate rural village outside the Dumka municipal boundary and is not considered part of Dumka city proper., Nayapara is considered a separate outgrowth from Dumka city proper.,0.877,Correct,Correct,Ok,1,1,68,122,0.557377049,0
Is Nayapara near Dumka city?,Relational Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Yes, Nayapara is a rural village located within the Dumka district, separate from any urban city block but nearby."," Nayapara could be near or within the administrative boundaries of the Dumka city, but without specifying a required spatial scale, the exact distance or proximity cannot be definitively determined. The geographic concept of ""near"" may have multiple interpretations depending on context and scale.",0.8142,Correct,Not Correct,Ok,1,1,297,114,2.605263158,0
Is Nayapara part of Dumka?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Yes, Nayapara is a revenue village within Dumka district, but it is outside the Dumka municipal town limits."," The query ""Is Nayapara part of Dumka?"" is referring to administrative boundaries, specifically whether Nayapara is an administrative unit within the district of Dumka in Jharkhand, India. However, without specifying a required spatial scale or explicitly stating which geographic concept (e.g., city, village, district) is being referred to, it's difficult to provide a definitive answer.

One possible interpretation: Nayapara is not considered a part of Dumka as a town or city, but it falls under the jurisdiction of Dumka district in Jharkhand, India. To find the most accurate answer, you should consult an authoritative source such as the official gazetteer or official map of the region.",0.8353,Not Correct,Not Correct,Halucinate,1,1,695,108,6.435185185,1
Is Parasnath near Dumka?,Spatial Granularity Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,"Parasnath Hill is not near Dumka; it is located in Giridih district, approximately 150 kilometres away by road."," Yes, Parasnath is located near Dumka, Jharkhand, India. However, the exact distance or proximity can vary depending on the specified spatial scale.",0.7709,Correct,Correct,Ok,1,1,148,111,1.333333333,0
Is the Deoghar railway station connected to the main bus stand by a direct road?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"Yes, Deoghar railway station is connected to the main bus stand by a direct road (Station Road) spanning about 1.5 kilometres."," The query does not provide sufficient spatial context to definitively determine if there is a direct road connecting the Deoghar railway station to the main bus stand. However, it can be inferred that a connection likely exists via indirect roads due to the presence of transportation infrastructure in most urban areas.",0.8548,Correct,Not Correct,Ok,1,1,321,126,2.547619048,0
Is the Dumka airstrip (Deoghar Airport) operational for civilian flights?,Semantic Result Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"No, the Dumka airstrip is a small unpaved facility used primarily for chartered and government flights; the operational civilian airport for the region is Deoghar Airport (Baidyanathdham Airport)."," The Dumka Airstrip, also known as Deoghar Airport, is not currently operational for civilian flights due to infrastructural and regulatory reasons. However, it has the potential for future development. Always check official aviation websites or contact local authorities for the most recent updates on airport operations.",0.9001,Correct,Correct,Ok,1,1,322,196,1.642857143,0
Is the Mansarovar pond contained wholly within the temple complex or outside it?,Spatial Granularity Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"The Mansarovar pond lies outside the immediate sanctum boundary but within the extended temple trust premises, adjacent to the northern boundary wall of the main shrine complex."," The information provided does not specify a required spatial scale, so multiple interpretations are possible. However, for a general understanding of the Mansarovar pond and its relationship to the temple complex, I can provide an interpretation based on commonly available data:

Mansarovar Pond is generally located outside the temple complex known as Gor Muktinath Temple, which is situated along the northern side of the pond. The temple is not contained within the Mansarovar Pond area.",0.7751,Correct,Not Correct,Ok,1,1,492,177,2.779661017,0
Is the Mansarovar pond next to Baidyanathdham?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"Yes, the Mansarovar pond is situated right next to the Baidyanathdham temple complex."," The Mansarovar pond and Baidyanathdham are not adjacent to each other. They are located in different geographical regions, with Mansarovar being part of the Tibet Autonomous Region in China, and Baidyanathdham being a town in Jharkhand state, India.",0.8307,Correct,Not Correct,Ok,1,1,250,85,2.941176471,0
Is the road leading to Trikut Buru a linear route or a network of trails?,Location Geometry Type Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,The path leading to the summit of Trikut Buru is a linear route.," The road leading to Trikut Buru could be either a linear route or a network of trails, due to potential ambiguity in the description.",0.8218,Correct,Not Correct,Ok,1,1,134,64,2.09375,0
"Is there a locality named ""Marang"" in any neighbouring district of Dumka?",Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,Disom Marang Buru Than is a locality in Hijla village at the edge of Dumka city.," Yes, there is a locality named ""Marang"" in the neighboring district of Dumka, namely Sahibganj district, in the Indian state of Jharkhand.",0.6189,Not Correct,Not Correct,Halucinate,0,0,139,80,1.7375,1
Is there a Mansarovar in Dumka?,Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"No, the prominent Mansarovar pond is situated in Deoghar, not inside the Dumka district limits."," There is no Mansarovar located in Dumka, as Mansarovar is a famous high-altitude lake in Tibet Autonomous Region, China, not India. Dumka is a district in the Indian state of Jharkhand.",0.7412,Not Correct,Correct,Ok,0,1,186,95,1.957894737,0
Is there a weekly market (haat) within walking distance of Baidyanathdham?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"Yes, a weekly market (haat) operates within walking distance (less than 1 km) of Baidyanathdham, in the Deoghar town area."," It is unclear if there is a weekly market (haat) located within a walkable distance from Baidyanathdham, as the spatial relationship and boundary are vague or underspecified. Multiple interpretations of both the spatial relationship and geographic concept (weekly market, haat, walking distance, Baidyanathdham) exist. To obtain a precise answer, more contextual information or clarification is needed.",0.8224,Not Correct,Not Correct,Halucinate,1,1,403,122,3.303278689,1
Is Trikut = Trikut Buru?,Toponymical Naming Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"""Trikut"" and ""Trikut Buru"" are used interchangeably; ""Buru"" means ""hill"" in Santali, so Trikut Buru specifically means ""Trikut Hill""."," Yes, Trikut and Trikut Buru refer to the same geographical feature, which is a triangular mountain in Indonesia's Maluku Islands. However, it's important to note that ""Trikut"" can also refer to other similar geographical features worldwide with a triangular shape. In this specific context, the question refers to the Indonesian Trikut located on Buru Island, hence ""Trikut Buru"".",0.6729,Not Correct,Not Correct,Halucinate,0,0,381,133,2.864661654,1
Is Trikut Buru a single conical peak or a cluster of multiple summits?,Location Geometry Type Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"Trikut Buru is a cluster of three distinct summits (hence the name ""Trikut"" meaning three peaks).", Trikut Buru is a cluster of multiple summits.,0.9036,Correct,Correct,Ok,1,1,46,97,0.474226804,0
Is Trikut Buru next to Marang Buru?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"No, Trikut Buru is not next to Marang Buru; they are located in different districts approximately 60-65 kilometres apart.", The spatial relationship between Trikut Buru and Marang Buru is unclear due to multiple potential interpretations of their geographic locations.,0.7172,Not Correct,Correct,Ok,0,1,145,121,1.198347107,0
On which slope of Trikut Buru does the primary trekking trail begin?,Spatial Part Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,"The primary trekking trail to Trikut Buru begins on the southeastern slope of the hill, starting from Trikutpar village.", The primary trekking trail on Trikut Buru begins on its north slope.,0.9508,Correct,Correct,Ok,1,1,69,120,0.575,0
Road distance vs straight-line from Nayapara village to Dumka city centre?,Relational Geometric Ambiguity | Geometric Result Ambiguity,N/A,N/A,N/A,N/A,"The road distance from Nayapara to Dumka city centre is about 10-12 kilometres, while the straight-line distance is roughly 7 kilometres."," The road distance from Nayapara village to Dumka city centre, as opposed to a straight-line distance, might be longer due to curves and turns on the actual route.",0.9013,Correct,Correct,Ok,1,1,163,137,1.189781022,0
Should Mansarovar pond be mapped as a polygon or a point next to the Baidyanathdham temple complex ?,Location Geometry Type Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The Mansarovar pond should be mapped as a polygon.," Given the ambiguity in required spatial scale, it would be appropriate to consider mapping Mansarovar pond as a polygon, as it is a substantial body of water with a definite boundary. However, for higher levels of detail or specific contexts, both point and polygon representations might be used.",0.8525,Not Correct,Not Correct,Halucinate,1,1,297,50,5.94,1
Under which administrative block (CD block) does Nayapara fall?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,Nayapara falls under the Dumka Sadar (Dumka) Community Development (CD) Block.," Nayapara falls under the Harishchandrapur CD Block in the Bankura district, West Bengal, India.",0.7742,Correct,Correct,Ok,1,1,96,78,1.230769231,0
Was Marang Buru inside Dumka earlier?,Temporal Spatial Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Yes, Marang Buru has always been situated within the territorial limits of Dumka district, even before the bifurcation of Jamtara district in 2001.", The query cannot be definitively answered due to the ambiguity regarding the required spatial scale and the time period.,0.2094,Not Correct,Not Correct,Halucinate,0,0,121,147,0.823129252,1
Was Marang Buru inside Jamtara earlier?,Temporal Spatial Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"No, Marang Buru has always been situated within the territorial limits of Dumka district, even before the bifurcation of Jamtara district in 2001."," Given the ambiguity in both spatial scale and time period, it is impossible to definitively determine whether Marang Buru was once part of Jamtara at any specific point in time. Further context or clarification on these parameters would be required for a conclusive answer.",0.5828,Not Correct,Not Correct,Halucinate,0,0,274,146,1.876712329,1
Was Parasnath Hill earlier part of Dumka district?,Temporal Spatial Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"No, Parasnath Hill has never been part of Dumka district; it has historically been located in Giridih district (earlier within Hazaribagh district).", It is not possible to definitively determine whether Parasnath Hill was previously a part of Dumka district due to the ambiguity regarding the required spatial scale and time period.,0.7416,Not Correct,Correct,Ok,0,1,183,148,1.236486486,0
Was the Mayurakshi River course near Nayapara different in the 1960s?,Temporal Spatial Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,"Yes, the Mayurakshi River course near Nayapara has shifted slightly due to siltation and seasonal flooding since the 1960s, though the major channel has remained largely consistent.", It is not possible to definitively determine if the Mayurakshi River course near Nayapara was different in the 1960s due to a lack of specific and consistent data for that time period.,0.5796,Not Correct,Not Correct,Halucinate,0,0,185,181,1.022099448,1
Were the Trikut Buru hills historically part of a larger reserved forest?,Temporal Spatial Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Yes, the Trikut Buru hills were historically part of a larger reserved forest area notified during the British colonial period, later divided into separate forest blocks."," To accurately determine if the Trikut Buru hills were historically part of a larger reserved forest, it is necessary to obtain historical maps or records specifying their classification over time at an appropriate spatial scale and for a defined period.",0.7436,Not Correct,Correct,Ok,0,1,254,170,1.494117647,0
What are the indigenous (Santhali) names for the Deoghar region?,Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"The Santali names for the Deoghar region include ""Boidanath Dham"", ""Deoghar"", and ""Baba Dham Disam"" (land of Baba Dham)."," The indigenous Santhali names for the Deoghar region could include ""Deulghata"" or ""Baidyabati."" These are traditional names that predate modern administrative divisions and may have cultural significance to the Santhal community. However, it's important to note that the use of these names can vary among different groups within the Santhal community, and their exact usage and meaning might not always correspond precisely with the geographical boundaries of the Deoghar district as defined by contemporary administrative maps. Always consult a reliable source for the most accurate information.",0.6559,Not Correct,Not Correct,Halucinate,0,0,597,120,4.975,1
What is adjacent to Trikut Buru base?,Spatial Part Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,The village of Trikutpar and the trek starting point for Trikut Buru are located adjacent to the base of the hill.," Trikut Buru base may be adjacent to various features depending on the specific location of the base. Some possibilities could include other islands, coastal areas, or maritime zones. However, without precise coordinates or contextual information about the location of Trikut Buru base, it is not possible to definitively determine what is adjacent to it.",0.6591,Not Correct,Not Correct,Halucinate,0,0,355,114,3.114035088,1
"What is next to Sadar Hospital, Deoghar?",Relational Semantic Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,The Deoghar District Civil Surgeon Office and the Deoghar police lines area are located adjacent to Deoghar Sadar Hospital.," The buildings or areas immediately adjacent to Sadar Hospital in Deoghar could include buildings such as the Old Police Station, Sadar Bazar, or other nearby structures. However, without specific context, it's difficult to pinpoint exactly what lies next to Sadar Hospital.",0.7372,Not Correct,Not Correct,Halucinate,0,1,274,123,2.227642276,1
What is Ol Chiki name Dumka?,Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"The Ol Chiki spelling of Dumka is ""ᱰᱩᱢᱠᱟ""."," The Ol Chiki name for ""Dumka"" does not appear to be widely recognized or standardized within this script, as it's primarily used in the Santali language of the Mundari people and Dumka is a place-name that is not typically written in the Ol Chiki script. It is more commonly known as ""Dumka"" in various scripts such as Bengali, Hindi, or English.",0.7867,Not Correct,Not Correct,Halucinate,1,1,347,52,6.673076923,1
What is Santali name for Dumka?,Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"The Santali name for Dumka is ""ᱰᱩᱢᱠᱟ"" (Dumka pronounced with a glottal stop)."," The Santali name for Dumka is ""Dumko"".",0.9041,Correct,Correct,Ok,1,1,39,87,0.448275862,0
What is the area of Deoghar?,Locational Extent Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The total area of Deoghar district is about 2477 square kilometres.," The area of Deoghar, a city in India, cannot be definitively determined without specifying a spatial scale (e.g., square kilometers, square miles).",0.7377,Not Correct,Not Correct,Halucinate,0,1,148,67,2.208955224,1
What is the area of Dumka?,Locational Extent Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The Dumka district covers a total geographical area of about 3716 square kilometres.," To determine the area of Dumka, a specific spatial scale or resolution is required. However, without specifying the desired level of detail, it's challenging to provide an accurate measurement. The area could be calculated based on various spatial scales like district level, administrative boundary level, cadastral maps, etc. Therefore, please specify the required spatial scale for a precise calculation of the area of Dumka.",0.7678,Not Correct,Not Correct,Halucinate,1,1,429,84,5.107142857,1
What is the average depth of the Mansarovar pond?,Geometric Result Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,Average depth is about 10 meters.," The average depth of Mansarovar Lake, located in Tibet Autonomous Region of China, near Mount Kailash, is not clearly defined due to its variable and seasonal nature. Sources provide estimates ranging from approximately 90 feet (27 meters) to about 150 feet (46 meters). However, a precise average depth cannot be definitively determined based on the available data.",0.5036,Not Correct,Not Correct,Halucinate,0,0,367,33,11.12121212,1
What is the average spacing between the three crests of Trikut Buru?,Relational Geometric Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The average horizontal spacing between the three crests of Trikut Buru is about 300 metres.," Due to ambiguity in spatial relationship and boundary/extent, it is impossible to accurately determine the average spacing between the three crests of Trikut Buru without more specific information or a reference point or scale.",0.8672,Correct,Not Correct,Ok,1,1,228,91,2.505494505,0
What is the boundary length of Baidyanathdham temple complex?,Locational Extent Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The perimeter of the Baidyanathdham temple complex boundary wall is approximately 400 metres.," The boundary length of Baidyanathdham temple complex refers to the continuous measurement around its perimeter, excluding internal courtyards and structures but including approaches, walls, and any other external features that define the temple's outer limit.",0.7896,Correct,Not Correct,Ok,1,1,260,93,2.795698925,0
What is the carriageway width of the main road passing through Deoghar?,Geometric Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The carriageway width of the main road passing through Deoghar is mostly 7 meters.," Due to the unclear spatial boundary or extent and required spatial scale, it is impossible to accurately determine the carriageway width of the main road passing through Deoghar at this time.",0.8172,Correct,Not Correct,Ok,1,1,192,82,2.341463415,0
What is the catchment area of the Mansarovar pond’s watershed?,Locational Extent Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,The catchment consists of an urban footprint of roughly 1.5 to 2 square kilometres encompassing the immediate temple vicinity.," The catchment area of the Mansarovar pond's watershed refers to the total drainage basin or region contributing runoff to Mansarovar Lake, including its tributaries and sub-basins upstream.",0.3963,Not Correct,Not Correct,Halucinate,0,0,190,126,1.507936508,1
What is the colloquial name used by locals for Dumka Sadar Hospital?,Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"Locals colloquially refer to Dumka Sadar Hospital as ""Sadar Aspatal"" or simply ""Sadar Hospital""."," I'm sorry for any inconvenience, but as a text-based AI model, I don't have real-time access to local knowledge or databases to provide definitive answers about colloquial names of specific locations like Dumka Sadar Hospital. However, if you can provide more context such as a possible name used by locals based on nearby places, traditions, or dialects, I might be able to help generate a plausible interpretation. If you have such information, please share it!",0.7823,Not Correct,Not Correct,Halucinate,1,1,464,96,4.833333333,1
What is the crow-fly distance from Dumka to its nearest district headquarters?,Relational Geometric Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"The nearest district headquarters to Dumka by straight-line distance is Deoghar, approximately 55 kilometres away."," To determine the crow-fly distance between Dumka and its nearest district headquarters, first it's necessary to clarify the location of the Dumka in question, as there are places called Dumka in multiple countries. Then, identify the district headquarters geographically close to Dumka, and finally calculate the straight line or 'as the crow flies' distance between them using a geospatial tool or software.",0.6913,Not Correct,Not Correct,Halucinate,0,0,409,114,3.587719298,1
"What is the Devanagari spelling of ""Dumka"" used in government gazettes?",Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"The Devanagari spelling of Dumka used in government gazettes is ""दुमका"".", दुमका (dumakā),0.8368,Correct,Correct,Ok,1,1,26,82,0.317073171,0
What is the direct linear distance between Deoghar and Jasidih?,Relational Geometric Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The direct linear distance between Deoghar railway station and Jasidih Junction is about 6 kilometres., The direct linear distance between Deoghar and Jasidih cannot be determined as the required spatial scale for this query is unclear.,0.7222,Not Correct,Correct,Ok,0,1,133,102,1.303921569,0
What is the distance between Dumka and Deoghar?,"Spatial Granularity Ambiguity | Relational Geometric Ambiguity, Geometric Result Ambiguity",N/A,N/A,N/A,N/A,The road distance between Dumka and Deoghar is approximately 65 to 70 kilometres.," The distance between Dumka and Deoghar can be determined, but the ambiguity regarding spatial scale should be clarified for an accurate answer (e.g., kilometers, miles, etc.).",0.8462,Correct,Not Correct,Ok,1,1,176,81,2.172839506,0
What is the distance between Parasnath Hill and Marang Buru?,Toponymical Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,The straight-line distance between Parasnath Hill (Giridih) and Marang Buru (Dumka) is approximately 120-130 kilometres., The distance between Parasnath Hill and Marang Buru cannot be determined as both geographic features are unspecified in terms of their exact locations.,0.7725,Correct,Correct,Ok,1,1,152,120,1.266666667,0
What is the driving distance between Mansarovar pond and the Dumka bus depot?,Relational Geometric Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,The driving distance between Mansarovar pond (Deoghar) and Dumka bus depot is approximately 68 to 72 kilometres.," The driving distance between Mansarovar pond (assumed to be in Tibet, China) and Dumka bus depot (in Jharkhand, India) cannot be determined as both locations are far apart with no direct road connection.",0.8243,Correct,Correct,Ok,1,1,204,112,1.821428571,0
What is the elevation gain when climbing from the base to the highest point of Trikut Buru?,Relational Geometric Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The elevation gain from the base to the highest peak of Trikut Buru is approximately 350 to 400 metres.," To determine the elevation gain from the base to the highest point of Trikut Buru, we first need to establish the exact coordinates for both points. Once these are defined, we can calculate the vertical distance using digital elevation model (DEM) data or topographic maps. The resulting value will represent the elevation gain in meters or feet.",0.861,Not Correct,Not Correct,Halucinate,1,1,347,103,3.368932039,1
What is the exact altitude of the Marang Buru peak?,Geometric Result Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"Marang Buru peak is 1,365 metres above sea level.", The exact altitude of the Marang Buru peak is uncertain due to ambiguity in its spatial boundary or extent.,0.6717,Not Correct,Not Correct,Halucinate,0,0,108,49,2.204081633,1
What is the extent of Marang Buru?,Locational Extent Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,The Marang Buru hill area covers roughly 10-12 square kilometres in the Dumka-Godda uplands.," The extent of Marang Buru refers to its geographical size or area, possibly in square kilometers or acres, within a specific region or on a map.",0.6556,Not Correct,Not Correct,Halucinate,0,0,145,92,1.576086957,1
What is the extent of Trikut Buru?,Locational Extent Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,The Trikut Buru hill complex spans an area of approximately 8-10 square kilometres.," The extent of Trikut Buru refers to its geographical boundaries or area, specifically in terms of a defined location on a map or globe. However, without additional context, it's difficult to provide an exact measurement as Trikut Buru can refer to several places, including islands and peaks in various regions around the world.",0.6476,Not Correct,Not Correct,Halucinate,0,0,329,83,3.963855422,1
What is the floor area of the main Baidyanathdham temple hall?,Geometric Result Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The floor area of the main Baidyanathdham temple hall is roughly 400 sq m.," Due to the ambiguity in spatial boundary, it is not possible to accurately determine the floor area of the main Baidyanathdham temple hall without additional specifications or clear delineation of the boundaries.",0.7163,Not Correct,Not Correct,Halucinate,0,1,213,74,2.878378378,1
What is the geometry type of the Mayurakshi River flowing past Dumka?,Location Geometry Type Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The Mayurakshi River should be mapped as a Line geometry type.," The Mayurakshi River, as it flows past Dumka, is typically represented as a Line Feature (or a Polyline) in geospatial datasets due to its continuous and linear nature. However, depending on the specific dataset or the purpose of the analysis, it could also be represented as a Polygon Feature if a river buffer zone is included.",0.7752,Not Correct,Not Correct,Halucinate,1,1,330,62,5.322580645,1
What is the height of Marang Buru?,Geometric Result Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"Marang Buru peak is 1,365 metres above sea level."," The height of Marang Buru, assuming a clear and defined spatial extent can be established from geospatial data, is approximately 906 meters (2973 feet). However, due to ambiguity in the spatial boundary or extent, it's essential to confirm this data using accurate and updated geospatial resources.",0.7468,Not Correct,Not Correct,Halucinate,0,1,299,49,6.102040816,1
What is the highest point (elevation) within Dumka district?,Geometric Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The highest point (located in the Dumka–Godda Uplands) is about 750 meters above sea level.," The highest point elevation within Dumka district, assuming a clear and defined boundary for the district and a suitable spatial scale, remains undetermined due to the ambiguity of the provided information.",0.6335,Not Correct,Not Correct,Halucinate,0,0,207,93,2.225806452,1
What is the jurisdictional extent of the Dumka municipal council?,Spatial Granularity Ambiguity | Locational Extent Ambiguity,N/A,N/A,N/A,N/A,"The Dumka municipal council jurisdiction covers an area of approximately 9 to 10 square kilometres, encompassing the core urban wards."," The jurisdictional extent of the Dumka Municipal Council may vary depending on the administrative boundaries defined at different spatial scales. To obtain a precise description, it is advisable to refer to authoritative sources that provide detailed information at the appropriate scale (e.g., cadastral maps, government gazettes, or official GIS datasets).",0.7408,Not Correct,Not Correct,Halucinate,0,1,359,134,2.679104478,1
What is the length of the Deoghar–Jasidih railway line segment?,Geometric Result Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,Length of the Deoghar Junction to Jasidih Junction railway line segment is about 6 Km., The length of the Deoghar-Jasidih railway line segment cannot be definitively determined due to ambiguity in spatial boundary or extent.,0.7495,Not Correct,Correct,Ok,0,1,137,86,1.593023256,0
What is the length of the Trikut Buru trek route?,Geometric Result Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,About 2 km from the base to the peak., The length of the Trikut Buru trek route is ambiguous due to unclear spatial boundaries or extent provided.,0.221,Not Correct,Not Correct,Halucinate,0,0,108,37,2.918918919,1
What is the linear distance from Deoghar to the West Bengal state border?,Relational Geometric Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The straight-line distance from Deoghar city to the West Bengal state border (eastward) is approximately 45 to 50 kilometres.," Due to the ambiguity in the provided information, it is impossible to determine an accurate linear distance from Deoghar to the West Bengal state border without specifying the spatial scale and clarifying the extent or boundary of these locations.",0.8168,Correct,Correct,Ok,1,1,248,125,1.984,0
What is the linear extent of the Trikut Buru hill range?,Locational Extent Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,The Trikut Buru hill range extends linearly for approximately 4 to 5 kilometres along its main axis.," The linear extent of the Trikut Buru hill range can be approximated by measuring its length along a straight line, typically from an endpoint to another across the entire range. However, due to irregular shapes and complex geographical features, it is best to consult a reliable map source or geospatial data for precise measurements.",0.8735,Not Correct,Not Correct,Halucinate,1,1,335,100,3.35,1
What is the location of Marang Buru?,Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Marang Buru is situated in Dumka district, Jharkhand, approximately 30-35 kilometres from Dumka town in the Godda uplands region."," Marang Buru can refer to either an island or a village in Indonesia, Maluku Province. Without specifying a spatial scale, it's challenging to provide a precise location. However, for the purpose of this query, let me focus on the general geographic area: Marang Buru is located in the Maluku Province, Indonesia.",0.7794,Correct,Not Correct,Ok,1,1,313,129,2.426356589,0
What is the Ol Chiki spelling of Mansarovar?,Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"The Ol Chiki spelling of Mansarovar is ""ᱢᱟᱱᱥᱟᱨᱳᱵᱚᱨ"" (Mansarovar)."," The Ol Chiki spelling for ""Mansarovar"" is मानसरोवर (Maanasaarovar).",0.8417,Correct,Correct,Ok,1,1,84,85,0.988235294,0
What is the old name of Marang Buru?,Toponymical Naming Ambiguity | Temporal Spatial Ambiguity,N/A,N/A,N/A,N/A,"The old name of Marang Buru is the same; ""Marang Buru"" in Santali means ""Big Hill"" and it has been known by this indigenous name historically; colonial records also refer to it as ""Marang Hill""."," The old name of Marang Buru, as per historical records, is believed to be Madoera or Madura.",0.6929,Not Correct,Not Correct,Halucinate,0,0,93,194,0.479381443,1
What is the perimeter of the Mansarovar pond?,Locational Extent Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,The perimeter of Mansarovar pond is approximately 180 to 200 metres.," The perimeter of the Mansarovar pond can be determined by measuring the length of its boundary, which is approximately 88 km according to various sources.",0.9056,Correct,Not Correct,Ok,1,1,155,68,2.279411765,0
What is the population of Dumka?,Spatial Granularity Ambiguity | Temporal Spatial Ambiguity,N/A,N/A,N/A,N/A,"According to the 2011 census, the population of Dumka district is approximately 1.32 million; Dumka municipal town has a population of about 47000."," Due to the lack of specified spatial scale and time period, I cannot provide an accurate population count for Dumka. Please clarify these parameters for a more precise answer.",0.8266,Correct,Correct,Ok,1,1,176,147,1.197278912,0
What is the road distance between Baidyanathdham and Mansarovar?,Relational Geometric Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"Baidyanathdham temple and Mansarovar pond are adjacent to each other, so the walking distance is negligible (under 50 metres); there is no separate road distance."," The road distance between Baidyanathdham and Mansarovar cannot be determined as both locations are in different countries (India and China respectively), and there is no officially recognized road connecting these two sites.",0.736,Not Correct,Correct,Ok,0,1,225,162,1.388888889,0
What is the road distance between Deoghar and Dumka?,Spatial Granularity Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,The road distance between Deoghar and Dumka via NH-114A is approximately 65 to 70 kilometres.," The road distance between Deoghar and Dumka cannot be determined without specifying a specific route or road network for travel, as the spatial relationship, boundary or extent, and required spatial scale are vague or underspecified in the query.",0.7848,Correct,Not Correct,Ok,1,1,247,93,2.655913978,0
