Query,Primary Category,Secondary Categories,Ground Truth
Where is Dumka Sadar Hospital Blood Bank?,Spatial Part Ambiguity,Semantic Result Ambiguity," The blood bank at Dumka Sadar Hospital is located within the hospital campus, in a dedicated building adjacent to the main emergency block."
Where is Dumka Sadar Hospital?,Semantic Result Ambiguity,Spatial Part Ambiguity,"Dumka Sadar Hospital is on Hospital Road in the Banderjori area of Dumka, Jharkhand."
Where is Dumka?,Spatial Granularity Ambiguity,Toponymical Semantic Ambiguity,Dumka is a district in the north east of Jharkhand and also the city that serves as the district headquarters.
Where is Mansarovar?,Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity," Mansarovar pond is located adjacent to the Baidyanathdham temple complex in Deoghar city, Deoghar district, Jharkhand."
Where is Marang Buru located?,Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity," Marang Buru is located in the Dumka-Godda uplands, within the Marang Buru Reserved Forest area of Dumka district, Jharkhand."
"Where is Nayapara, Dumka?",Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity, Nayapara is a revenue village located within the Dumka Sadar CD Block.
Where is Nayapara?,Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity," Nayapara is a revenue village located within Dumka City, approximately 10-12 km from Dumka city centre in the south/southeast direction."
Where is Parasnath?,Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity, Parasnath Hill is located in the Giridih district of Jharkhand state.
Where is the base of Trikut Buru?,Spatial Part Ambiguity,Semantic Result Ambiguity," The base of Trikut Buru is situated near the village of Trikutpar, approximately 15 km from Deoghar city."
Where is the designated bathing ghat on the Mansarovar pond?,Spatial Part Ambiguity,Toponymical Semantic Ambiguity," The designated bathing ghat at Mansarovar pond is located on the eastern edge, with steps leading into the water, within the temple trust premises."
Where is the entrance of Baidyanathdham?,Spatial Part Ambiguity,Semantic Result Ambiguity," The entrance to Baidyanathdham temple is on the western side of the complex, accessed via Baba Mandir Road."
Where is the hospital in Dumka?,Spatial Granularity Ambiguity,Semantic Result Ambiguity," The main government hospital in Dumka, Dumka Sadar Hospital, is situated on Hospital Road near the Collectorate and District Court complex."
Where is the main gate of Baidyanathdham?,Spatial Part Ambiguity,Semantic Result Ambiguity," The main gate of Baidyanathdham is on the western side of the temple complex, facing the Baba Mandir Road."
Where is the Mansarovar ghat?,Spatial Part Ambiguity,Toponymical Semantic Ambiguity," The Mansarovar ghat is on the eastern bank of the Mansarovar pond, adjacent to the Baidyanathdham temple complex boundary."
Where is the meditation hall (Dhyan Mandap) situated inside Baidyanathdham?,Spatial Part Ambiguity,Semantic Result Ambiguity, The Dhyan Mandap (meditation hall) is situated in the northeastern section of the Baidyanathdham temple complex.
Where is the parking lot of Deoghar railway station relative to the main entrance?,Spatial Part Ambiguity,Relational Semantic Ambiguity," The parking lot of Deoghar railway station is located on the eastern side of the main entrance building, facing the station approach road."
Where is the peak of Marang Buru?,Spatial Part Ambiguity,Semantic Result Ambiguity," The peak of Marang Buru is situated within the Marang Buru Reserved Forest area, accessible via trekking routes from the Dumka-Shikaripara road."
Where are the peaks of Trikut Buru?,Spatial Part Ambiguity,Semantic Result Ambiguity," The peaks of Trikut Buru are in the Deoghar district of Jharkhand, India."
Where is the road to Trikut Buru?,Semantic Result Ambiguity,Toponymical Semantic Ambiguity," The road to Trikut Buru begins from the Deoghar-Dumka highway, with a diversion near Mohanpur that leads toward the Trikut hill base."
Where is the treasury office (koshagar) located within Dumka?,Semantic Result Ambiguity,Spatial Granularity Ambiguity," The district treasury office (Koshagar) in Dumka is located within the Collectorate campus, near the main administrative block."
Where is the western entrance of Baidyanathdham?,Spatial Part Ambiguity,Semantic Result Ambiguity," The western entrance of Baidyanathdham is located along the Baba Mandir Road, opposite the dharamshala and administrative buildings."
Where is the wholesale vegetable market situated in Deoghar?,Semantic Result Ambiguity,Spatial Granularity Ambiguity," The wholesale vegetable market in Deoghar is situated in the Kasturba Gandhi Chowk area (also known locally as Sabzi Mandi), in the central part of town."
Where is Trikut Buru?,Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity," Trikut Buru is a hill range located about 15 kilometres from Deoghar city, within Deoghar district, Jharkhand."
Where is Trikut?,Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity," Trikut refers to Trikut Buru, which is a hill range near Deoghar city, within Deoghar district, Jharkhand."
Where was the old railway station of Deoghar?,Temporal Spatial Ambiguity,Semantic Result Ambiguity," The old railway station of Deoghar was located at Baidyanathdham (the present Deoghar Junction), which has been in operation since the early 1900s as part of the Jasidih-Deoghar branch line."
Where was the original base of Trikut Buru trek?,Temporal Spatial Ambiguity,Spatial Part Ambiguity," The original base of the Trikut Buru trek was at the same location as the current one, near Trikutpar village, which has been the traditional starting point for pilgrims and trekkers."
"Which ""Sadar Hospital"" is meant – the one in Deoghar or the one in Dumka?",Toponymical Semantic Ambiguity,Spatial Granularity Ambiguity," ""Sadar Hospital"" in the Dumka district context refers to Dumka Sadar Hospital; Deoghar district has its own separate ""Deoghar Sadar Hospital""."
Which blood bank is inside Dumka Sadar Hospital?,Spatial Part Ambiguity,Semantic Result Ambiguity," The licensed blood bank operating inside Dumka Sadar Hospital is the District Hospital Blood Bank, Dumka."
Which building in Dumka Sadar Hospital houses the blood donation unit?,Spatial Part Ambiguity,Semantic Result Ambiguity, The blood donation unit is located in the Blood Bank building within the Dumka Sadar Hospital campus.
Which building inside Dumka Sadar Hospital is the main ward?,Spatial Part Ambiguity,Semantic Result Ambiguity," The main inpatient ward at Dumka Sadar Hospital is housed in the central block of the hospital complex, directly behind the emergency building."
Which floor of the administrative building of the hospital houses the ICU?,Spatial Part Ambiguity,Semantic Result Ambiguity," The ICU at Dumka Sadar Hospital is located on the ground floor of the main hospital building, adjacent to the emergency ward."
Which hill in Trikut Buru is the highest?,Spatial Part Ambiguity,Geometric Result Ambiguity, The central summit of Trikut Buru is the highest of the three peaks.
Which hills are adjacent to Marang Buru?,Relational Semantic Ambiguity,Location Geometry Type Ambiguity, The hills adjacent to Marang Buru include the Belpahari and Lagwa hills within the Dumka-Godda uplands.
Which hospital is next to Baidyanathdham?,Relational Semantic Ambiguity,Toponymical Semantic Ambiguity, The Baba Baidyanath District Ayurvedic Hospital is located near the Baidyanathdham temple complex.
Which is bigger Dumka or Deoghar?,Spatial Granularity Ambiguity,Locational Extent Ambiguity," Deoghar municipal corporation is larger in population and urban extent compared to Dumka municipality; however, Dumka district (3716 sq km) is larger in geographical area than Deoghar district (2477 sq km)."
Which landmark building contains the District Court in Dumka?,Semantic Result Ambiguity,Spatial Part Ambiguity," The District Court of Dumka is housed in the District Court Building complex situated near the Collectorate, adjacent to the District Bar Association hall."
Which locality of Deoghar is the railway station situated in?,Spatial Granularity Ambiguity,Spatial Part Ambiguity, The Deoghar railway station is situated in the Baidyanathdham area (also called Baba Dham locality) of Deoghar city.
Which municipal ward does Nayapara belong to in Dumka?,Spatial Granularity Ambiguity,Spatial Part Ambiguity, Nayapara is a separate revenue village outside the Dumka municipal limits; it is not part of any municipal ward.
Which of the Trikut Buru summits offers the highest viewing point?,Spatial Part Ambiguity,Geometric Result Ambiguity," The central peak of Trikut Buru offers the highest viewing point, with panoramic views of the surrounding region."
Which part of Dumka is Nayapara in?,Spatial Part Ambiguity,Spatial Granularity Ambiguity," Nayapara is in the rural outskirts to the south/southeast of Dumka city, under the Dumka Sadar CD Block."
Which peak of Trikut Buru is the highest?,Spatial Part Ambiguity,Geometric Result Ambiguity, The middle peak among the three summits of Trikut Buru is the highest.
"Which places in Jharkhand are commonly referred to as ""Baba Dham""?",Toponymical Semantic Ambiguity,Toponymical Naming Ambiguity,"Baba Baidyanath Dham in Deoghar is the primarily called ""Baba Dham"". Baba Basukinath Dham, in Dumka is sometimes shortened to ""Baba Dham""."
Which police station exercises jurisdiction over the area around Deoghar?,Relational Semantic Ambiguity,Spatial Granularity Ambiguity," The Deoghar Town police station exercises jurisdiction over the core urban area, while the Deoghar Muffasil police station covers the surrounding rural belt."
Which pond is near Baidyanathdham?,Relational Semantic Ambiguity,Toponymical Semantic Ambiguity, Mansarovar pond is the water body situated immediately adjacent to the Baidyanathdham temple complex.
Which prominent landmark stands opposite the western entrance of Baidyanathdham?,Relational Semantic Ambiguity,Spatial Part Ambiguity, The prominent landmark opposite the western entrance (main gate) of Baidyanathdham is the Baba Baidyanath Dharamshala and the administrative office complex.
Which road is closest to Mansarovar pond?,Relational Semantic Ambiguity,Relational Geometric Ambiguity, The road closest to Mansarovar pond is the approach road along the western boundary of the Baidyanathdham temple complex (also known as Baba Dham Road).
"Which road is next to Baidyanathdham, Deoghar?",Relational Semantic Ambiguity,Toponymical Semantic Ambiguity," The main road adjacent to Baidyanathdham is the Baba Mandir Road, which runs along the western and northern boundaries of the temple complex."
Which roads near Baidyanathdham existed before 2000?,Temporal Spatial Ambiguity,Relational Semantic Ambiguity," Roads near Baidyanathdham that existed before 2000 include Baba Mandir Road, Station Road, and the old Deoghar-Sultanganj route."
Which schools are situated in the immediate vicinity of Mansarovar pond?,Relational Semantic Ambiguity,Relational Geometric Ambiguity, Schools in the immediate vicinity of Mansarovar pond include the Baidyanathdham High School and a government primary school within the temple trust premises.
Which section of Dumka Sadar Hospital contains the outpatient pharmacy?,Spatial Part Ambiguity,Semantic Result Ambiguity," The outpatient pharmacy is located in the OPD block, near the main outpatient registration area of Dumka Sadar Hospital."
Which temple inside Baidyanathdham is the main shrine?,Spatial Part Ambiguity,Semantic Result Ambiguity," The main shrine inside Baidyanathdham is the Baba Baidyanath Jyotirlinga temple, housing one of the twelve Jyotirlingas."
Which town is next to Dumka?,Relational Semantic Ambiguity,Spatial Granularity Ambiguity," The nearest town to Dumka city is Shikaripara, located roughly 25 kilometres away."
Which towns on the Dumka–Deoghar route are served by regular bus services?,Relational Semantic Ambiguity,Location Geometry Type Ambiguity," Towns served by regular bus services on the Dumka-Deoghar route include Jarmundi, Sarwan, and Mohanpur."
Which village is the closest to the base camp of Trikut Buru?,Relational Semantic Ambiguity,Spatial Part Ambiguity," The nearest village to the base camp of Trikut Buru is Trikut village (also known as Trikutpar), situated at the foothills."
Which villages in Dumka are not reachable by roads?,Relational Semantic Ambiguity,Spatial Granularity Ambiguity, A few remote villages in the hilly and forested areas of Kathikund and Gopikandar blocks in Dumka district have limited or no motorable road access during monsoons.
Which villages were part of Dumka before the district division?,Temporal Spatial Ambiguity,Spatial Granularity Ambiguity," Before the 2001 bifurcation, villages now falling in Jamtara district (including areas near Narayanpur, Jamtara Sadar, and Kundhit) were part of undivided Dumka district."
"Within the Baidyanathdham complex, where is the main sanctum sanctorum?",Spatial Part Ambiguity,Semantic Result Ambiguity," The main sanctum sanctorum (garbhagriha) is located at the centre of the Baidyanathdham temple complex, housing the Jyotirlinga."
